Cod_setor,soma_homem,soma_mulher,predom
251080805000001,101,110,M
251080805000002,155,93,H
251080805000003,183,222,M
251080805000004,153,101,H
251080805000005,76,76,M
251080805000006,109,90,H
251080805000007,182,146,H
251080805000008,184,160,H
251080805000009,154,144,H
251080805000010,194,158,H
251080805000011,262,186,H
251080805000012,173,178,M
251080805000013,175,213,M
251080805000014,90,270,M
251080805000015,197,117,H
251080805000016,231,214,H
251080805000017,92,244,M
251080805000018,163,121,H
251080805000019,60,230,M
251080805000020,200,143,H
251080805000021,229,198,H
251080805000022,201,244,M
251080805000023,178,110,H
251080805000024,260,132,H
251080805000025,141,343,M
251080805000026,154,110,H
251080805000027,100,91,H
251080805000028,59,176,M
251080805000029,173,135,H
251080805000030,186,244,M
251080805000031,122,86,H
251080805000032,243,132,H
251080805000033,128,117,H
251080805000034,158,212,M
251080805000035,102,86,H
251080805000036,240,157,H
251080805000037,287,191,H
251080805000038,273,166,H
251080805000039,218,161,H
251080805000040,110,78,H
251080805000041,167,104,H
251080805000042,195,96,H
251080805000043,351,122,H
251080805000044,234,214,H
251080805000045,176,68,H
251080805000046,235,157,H
251080805000047,128,93,H
251080805000048,0,0,M
251080805000049,497,182,H
251080805000050,177,135,H
251080805000051,203,55,H
251080805000052,106,86,H
251080805000053,115,129,M
251080805000054,108,47,H
251080805000055,184,63,H
251080805000056,176,81,H
251080805000057,127,85,H
251080805000058,309,144,H
251080805000059,334,128,H
251080805000060,161,96,H
251080805000061,387,120,H
251080805000062,80,49,H
251080805000063,209,143,H
251080805000064,106,277,M
251080805000065,209,120,H
251080805000066,275,111,H
251080805000067,186,168,H
251080805000068,207,229,M
251080805000069,139,64,H
251080805000070,146,87,H
251080805000071,185,96,H
251080805000072,222,34,H
251080805000073,161,84,H
251080805000074,384,267,H
251080805000075,203,111,H
251080805000076,235,166,H
251080805000077,0,0,M
251080805000078,128,109,H
251080805000079,222,211,H
251080805000080,0,0,M
251080805000081,120,67,H
251080805000082,76,213,M
251080805000083,23,4,H
251080805000084,15,6,H
251080805000085,115,63,H
251080805000086,298,226,H
251080805000087,224,223,H
251080805000088,72,40,H
251080805000089,0,0,M
251080805000090,4,5,M
251080805000091,33,65,M
251080805000092,42,53,M
251080805000093,104,67,H
251080805000094,59,76,M
251080805000095,16,24,M
251080805000096,91,39,H
251080805000097,32,22,H
251080805000098,40,46,M
251080805000099,266,84,H
251080805000100,6,3,H
251080805000101,75,25,H
251080805000102,436,192,H
251080805000103,3,6,M
251080805000104,18,28,M
251080805000105,88,14,H
251080805000106,174,47,H
251080805000107,136,41,H
251080805000108,161,19,H
251080805000109,10,3,H
251080805000110,70,9,H
251080805000111,192,22,H
251080805000112,164,128,H
251080805000113,59,97,M
251080805000114,142,118,H
251080805000115,126,91,H
251080805000116,284,156,H
251080805000117,164,179,M
251080805000118,200,114,H
251080805000119,175,74,H
251080805000120,293,109,H
251080805000121,195,94,H
251080805000122,200,107,H
251080805000123,149,92,H
251080805000124,109,288,M
251080805000125,202,74,H
251080805000126,287,152,H
251080805000127,156,101,H
251080805000128,109,73,H
251080805000129,98,90,H
251080805000130,169,87,H
251080805000131,119,122,M
251080805000132,82,47,H
251080805000133,227,110,H
251080805000134,203,119,H
251080805000135,63,295,M
251080805000136,203,168,H
251080805000137,74,70,H
251080805000138,155,132,H
251080805000139,168,103,H
251080805000140,205,79,H
251080805000141,152,115,H
251080805000142,86,163,M
251080805000143,116,120,M
251080805000144,158,97,H
251080810000001,251,141,H
251080810000002,91,37,H
251080810000003,173,28,H
