global_key,conf_key,year,publisher,title,link
icse,conf/icse/2000,2000,ACM,"Proceedings of the 22nd International Conference on on Software Engineering, ICSE 2000, Limerick Ireland, June 4-11, 2000.",http://dl.acm.org/citation.cfm?id=336512
icse,conf/icse/2000future,2000,ACM,"22nd International Conference on on Software Engineering, Future of Software Engineering Track, ICSE 2000, Limerick Ireland, June 4-11, 2000.",\N
icse,conf/icse/2001,2001,IEEE Computer Society,"Proceedings of the 23rd International Conference on Software Engineering, ICSE 2001, 12-19 May 2001, Toronto, Ontario, Canada",http://dl.acm.org/citation.cfm?id=381473
icse,conf/icse/2002,2002,ACM,"Proceedings of the 24th International Conference on Software Engineering, ICSE 2002, 19-25 May 2002, Orlando, Florida, USA",http://dl.acm.org/citation.cfm?id=581339
icse,conf/icse/2002wads,2003,Springer,Architecting Dependable Systems [the book is a result of the ICSE 2002 Workshop on Software Architectures for Dependable Systems],\N
icse,conf/icse/2003,2003,IEEE Computer Society,"Proceedings of the 25th International Conference on Software Engineering, May 3-10, 2003, Portland, Oregon, USA",http://dl.acm.org/citation.cfm?id=776816
icse,conf/icse/2003sehci,2003,IFIP,"Proceedings of ICSE 2003 Workshop on Bridging the Gaps Between Software Engineering and Human-Computer Interaction, May 3-4, 2003, Portland, Oregon, USA",\N
icse,conf/icse/2003straw,2003,\N,"ICSE 2003 - Proceedings of 2nd International Software Requirements to Architectures Workshop, STRAW 2003, May 9, 2003, Portland, Oregon, USA",\N
icse,conf/icse/2003wads,2004,Springer,Architecting Dependable Systems II - [the book is a result of the ICSE 2003 Workshop on Software Architectures for Dependable Systems],\N
icse,conf/icse/2004,2004,IEEE Computer Society,"26th International Conference on Software Engineering (ICSE 2004), 23-28 May 2004, Edinburgh, United Kingdom",http://dl.acm.org/citation.cfm?id=998675
icse,conf/icse/2004wads,2005,Springer,Architecting Dependable Systems III [the book is a result of the ICSE 2004 and DSN 2004 workshops],\N
icse,conf/icse/2005,2005,ACM,"27th International Conference on Software Engineering (ICSE 2005), 15-21 May 2005, St. Louis, Missouri, USA",http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=10409
icse,conf/icse/2005edu,2006,Springer,"Software Engineering Education in the Modern Age, Software Education and Training Sessions at the International Conference on Software Engineering, ICSE 2005, St. Louis, MO, USA, May 15-21, 2005, Revised Lectures",\N
